player,g,min,fgm,fga,fg_percent,x3pm,x3pa,x3p_percent,ftm,fta,ft_percent,oreb,dreb,reb,ast,stl,blk,to,pts,player_id,snake_name
Carolyn Swords,26,14.5,1.7,3,55.7,0,0,0,0.5,0.6,87.5,1.7,3,4.7,0.9,0.2,0.7,0.8,3.9,202670,carolyn-swords
Cayla George,23,10.7,1.5,3.4,43.6,0.5,1.7,30.8,0.1,0.3,50,0.7,2.1,2.8,0.7,0.1,0.2,0.6,3.6,204297,cayla-george
Cecilia Zandalasini,29,16.5,2.1,5.1,40.9,0.8,2.1,38.3,0.7,0.9,84,0.2,1.7,1.9,1.1,0.3,0,1.1,5.7,1628508,cecilia-zandalasini
Chelsea Gray,34,32.7,5.7,11.7,48.4,1.1,2.9,39.2,2.4,2.9,83.5,0.5,2.9,3.4,5.1,1.4,0.2,2.3,14.9,203833,chelsea-gray
Cheyenne Parker,34,19.7,3.8,7.1,53.1,0.2,0.6,31.6,2.3,3.2,71.3,1.8,4,5.8,0.7,0.6,1.1,1.4,10,204323,cheyenne-parker
Chiney Ogwumike,31,25.5,5.7,9.4,60.3,0,0.1,50,3,3.8,79.7,2.7,4.6,7.3,1,1.2,0.6,1.6,14.4,203823,chiney-ogwumike
Courtney Paris,34,10.6,0.9,1.8,53.3,0,0,0,0.3,0.5,52.9,1.1,2.8,3.9,0.6,0.2,0.3,0.4,2.1,201907,courtney-paris
Courtney Vandersloot,30,31.8,4.5,9.3,48.9,1.5,3.8,39.8,1.9,2.3,82.6,0.5,3.2,3.7,8.6,1.3,0.6,3.5,12.5,202664,courtney-vandersloot
Courtney Williams,30,27.1,5.7,12.5,45.6,0.7,1.8,37.7,0.6,0.8,68,1.5,4.4,5.9,3,0.8,0.1,1.8,12.6,1627675,courtney-williams
Crystal Langhorne,26,13.9,2,4,50,0,0.2,0,0.6,0.7,88.9,0.7,2.3,3,0.3,0.3,0.1,0.9,4.6,201518,crystal-langhorne
Damiris Dantas,19,13.4,2.2,5.1,43.3,0.3,1.1,23.8,0.7,0.9,72.2,0.9,1.5,2.4,0.8,0.4,0,0.5,5.4,203024,damiris-dantas
Danielle Robinson,28,18.6,2.5,5.5,44.5,0.1,0.7,15.8,1.5,1.7,85.4,0.3,1.5,1.8,3.3,0.9,0,1.8,6.5,202658,danielle-robinson
DeWanna Bonner,34,32.9,6.1,13.5,45.2,1.6,5.2,31.3,3.4,4,86.7,1.4,5.9,7.2,3.2,1.3,0.4,1.6,17.3,201886,dewanna-bonner
Dearica Hamby,33,14.4,2.8,5.3,52.6,0.4,1.4,28.9,1.4,1.9,74.2,1.1,2.5,3.6,1.2,0.7,0.3,1.1,7.4,204324,dearica-hamby
Devereaux Peters,5,7.6,0.8,2.4,33.3,0,0.4,0,0,0,0,0.4,1.2,1.6,0.4,0,0,0.4,1.6,203016,devereaux-peters
Diamond DeShields,34,28.4,4.9,11.5,42.5,1.2,3.6,32.8,3.4,4.1,83.6,1.1,3.8,4.9,2.2,1.1,0.3,2.1,14.4,1628890,diamond-deshields
Diana Taurasi,33,30,6.1,13.7,44.6,3.2,8.4,38.3,5.2,5.6,92.5,0.1,3.4,3.5,5.3,0.9,0.2,2.6,20.7,100940,diana-taurasi
Elena Delle Donne,29,32.2,7.6,15.6,48.8,1.7,4.2,40.5,3.8,4.3,88.7,1.5,5.8,7.2,2.3,0.9,1.4,0.9,20.7,203399,elena-delle-donne
Elizabeth Williams,33,26.8,3.7,6.7,54.8,0,0,0,1.8,3.1,56.3,2.2,3.6,5.8,1.4,0.8,1.8,1.2,9.1,204322,elizabeth-williams
Epiphanny Prince,16,19.1,3,7.6,39.3,1.1,2.7,41.9,1.3,1.5,87.5,0.4,1.1,1.6,1.7,0.9,0,1.1,8.4,202259,epiphanny-prince
Erica McCall,34,12.3,1.2,3.2,38.5,0,0.2,12.5,0.4,0.6,68.4,1.4,1.4,2.7,0.4,0.3,0.5,0.3,2.9,1628286,erica-mccall
Erica Wheeler,34,21.7,2.9,8.3,35.1,0.6,2.2,27.6,1.4,1.7,79.7,0.6,2.4,2.9,4.1,0.8,0.2,1.4,7.8,204365,erica-wheeler
Erlana Larkins,13,12.9,0.9,2.1,44.4,0,0,0,0.2,0.2,100,1,1.7,2.7,1.3,0.7,0.1,0.7,2.1,201503,erlana-larkins
Essence Carson,34,23.1,3,6.8,43.5,1.1,3.2,36.1,0.4,0.5,93.8,0.3,2.4,2.6,0.9,0.8,0.3,0.6,7.5,201502,essence-carson
Gabby Williams,34,23,3,6.9,43.2,0.2,0.8,26.9,1.1,1.4,78.3,1.2,3.1,4.3,1.6,1.6,0.2,1.1,7.3,1628931,gabby-williams
Glory Johnson,29,22.5,2.9,7,41.7,0.6,1.9,31.5,1.6,2,78,1.6,4.3,6,1.3,1,0.5,1.3,8,203017,glory-johnson
Imani McGee-Stafford,29,10.5,1.3,3,45.3,0,0,0,0.2,0.5,46.7,1.3,2.1,3.4,0.6,0.5,0.4,0.8,2.9,1627677,imani-mcgee-stafford
Jaime Nared,31,9.1,0.8,2.6,30,0.2,1,22.6,0.8,0.9,85.7,0.3,1.2,1.5,0.5,0.4,0.1,0.6,2.5,1628913,jaime-nared
Jamierra Faulkner,17,21.2,2.7,7.9,34.3,1.1,3.7,30.2,1.1,1.4,75,0.3,1.1,1.4,3.9,0.5,0.1,2.1,7.6,203857,jamierra-faulkner
Jantel Lavender,30,17,2.3,5.3,42.8,0.1,0.5,18.8,0.6,0.7,90,1.1,2.6,3.7,0.7,0.4,0.2,1,5.2,202650,jantel-lavender
Jasmine Thomas,34,28.1,4.7,11.8,39.8,1.4,4.4,31.1,2.1,2.4,85.5,0.8,2.5,3.3,4.8,1.1,0.2,2.5,12.9,202662,jasmine-thomas
Jessica Breland,34,26.4,3.6,8.5,42.8,0,0,0,1,1.3,75,1.7,6.2,7.9,2,1.1,1.9,1.7,8.3,202638,jessica-breland
Jewell Loyd,34,29.7,5.4,12.6,42.3,2,5.3,37,2.9,3.4,85.1,1.2,3.3,4.6,3.7,1.3,0.1,1.9,15.5,204319,jewell-loyd
JiSu Park,32,13,1.2,3.1,38.8,0,0.1,0,0.4,0.7,61.9,0.8,2.5,3.3,0.9,0.3,0.6,0.7,2.8,1628917,jisu-park
Jonquel Jones,34,20.5,4.4,8,55,1.5,3.1,46.7,1.6,2.3,67.1,2.1,3.4,5.5,1.7,0.4,1.2,1.6,11.8,1627673,jonquel-jones
Jordin Canada,33,16.5,2,5.5,35.7,0.3,1.7,18.2,1.5,2,73.8,0.3,1.2,1.5,3.3,0.9,0,1.7,5.7,1628886,jordin-canada
Kaela Davis,27,16.8,1.9,5.3,34.7,0.4,1.5,24.4,0.9,1.4,64.1,0.5,1.6,2,1.4,0.3,0,1.3,5,1628273,kaela-davis
Kahleah Copper,33,15.9,2.5,6.2,39.7,0.7,1.9,37.5,1.5,1.7,87.5,0.5,1.7,2.2,0.6,0.3,0.2,1,7.1,1627674,kahleah-copper
Kaleena Mosqueda-Lewis,33,13.4,1.8,4.5,41.2,1,2.5,42,0.3,0.4,91.7,0.2,1.2,1.5,0.8,0.1,0,0.7,5.1,204321,kaleena-mosqueda-lewis
Karima Christmas-Kelly,6,27.8,2.2,4.8,44.8,0.7,1.5,44.4,4.3,5.3,81.3,1.8,3.7,5.5,1.5,0.3,0.3,1.5,9.3,202640,karima-christmas-kelly
Karlie Samuelson,20,4.2,0.4,0.9,38.9,0.3,0.8,31.3,0,0,0,0.1,0.4,0.5,0.3,0.1,0.3,0.1,1,1628317,karlie-samuelson
Kayla Alexander,30,8.6,1.1,2,54.1,0,0,0,0.5,0.6,82.4,0.7,1.5,2.2,0.2,0.1,0.3,0.6,2.7,203405,kayla-alexander
Kayla McBride,31,32.3,6.4,14.2,44.9,1.5,3.9,39.3,3.9,4.3,91.7,0.8,3.1,3.9,3.5,1.1,0.1,2,18.2,203825,kayla-mcbride
Kayla Thornton,34,28.6,3.4,7.5,44.7,1.3,3.6,35.5,1.3,1.5,86,1.3,2.7,4,1.8,1,0.3,1.1,9.2,203866,kayla-thornton
Kelsey Bone,32,10.8,1.3,2.5,50,0,0,0,0.3,0.6,50,0.6,1.6,2.2,1.2,0.1,0.1,0.9,2.8,203402,kelsey-bone
Kelsey Mitchell,34,24.4,4.2,12.1,34.6,2.1,6.1,33.5,2.3,2.9,80.4,0.3,1.5,1.8,2.7,0.7,0.1,1.9,12.7,1628909,kelsey-mitchell
Kelsey Plum,31,25.5,3.4,7.3,46.7,1.5,3.5,43.9,1.1,1.3,87.5,0.5,1.9,2.4,4,0.8,0.2,1.2,9.5,1628276,kelsey-plum
Kia Nurse,34,22.8,3,7.5,40.2,1.1,3.7,29.4,2,2.3,87,0.7,1.7,2.4,1.6,0.7,0.1,0.9,9.1,1628915,kia-nurse
Kia Vaughn,29,18.3,2.5,4.7,53.3,0,0,0,0.6,1,64.3,1.2,2.8,4,0.7,0.7,0.2,1,5.7,201913,kia-vaughn
Kiah Stokes,30,14.2,1.4,2.6,54.5,0,0,0,0.3,0.5,53.3,1.4,3,4.5,0.4,0.4,0.6,0.7,3.1,204329,kiah-stokes
Kristi Toliver,33,32.9,4.5,10.4,43.3,2.2,6.1,36,2.7,2.9,91.8,0.2,2.2,2.3,4.4,1.2,0,2.2,13.9,201911,kristi-toliver
Krystal Thomas,24,9.9,0.8,1.8,42.9,0,0,0,0.3,0.5,63.6,0.9,1.5,2.5,0.2,0.2,0.1,0.8,1.8,202663,krystal-thomas
LaToya Sanders,28,24.5,4.1,6.8,60.7,0,0,0,1.9,2.2,86.9,2.3,4.1,6.4,1.6,1.3,1.1,1.1,10.2,201506,latoya-sanders
Layshia Clarendon,33,16.6,1.7,4.3,40.1,0.1,0.6,10,1.3,1.6,81.1,0.5,1.3,1.8,2.2,0.5,0,1.1,4.8,203406,layshia-clarendon
Leilani Mitchell,31,14.9,1.5,4.2,35.1,1,2.9,34.1,0.4,0.5,85.7,0.3,1.1,1.4,2.3,0.5,0.2,1.2,4.4,201507,leilani-mitchell
Leticia Romero,21,7,0.2,0.8,31.3,0,0.2,20,0.6,0.7,86.7,0.4,0.4,0.8,1.1,0.1,0,0.7,1.1,1628285,leticia-romero
Lexie Brown,22,5.6,0.5,2,27.3,0.4,1.3,31,0.2,0.3,57.1,0,0.7,0.8,0.5,0.3,0.1,0.5,1.7,1628882,lexie-brown
Lindsay Allen,24,14.9,1.2,3,38.4,0,0.7,6.3,0.7,1,70.8,0.1,1.1,1.3,2.9,0.6,0,0.9,3.1,1628263,lindsay-allen
Lindsay Whalen,32,19.3,2,5.6,36.3,0.5,1.3,35.7,1.2,1.3,88.1,0.3,2.3,2.6,3.1,0.7,0.1,1.3,5.7,100915,lindsay-whalen
Linnae Harper,24,6.1,0.8,2,40.4,0.2,0.5,30.8,0.3,0.4,60,0.2,0.6,0.8,1,0.2,0,0.4,2,1628897,linnae-harper
Liz Cambage,32,29.5,8.7,14.8,58.9,0.4,1.2,32.4,5.3,7.2,73.8,2.3,7.3,9.7,2.3,0.5,1.7,2.8,23,202633,liz-cambage
Maggie Lucas,8,7,0.1,2,6.3,0.1,1.6,7.7,0,0,0,0.1,0.3,0.4,0,0.4,0,0.8,0.4,203843,maggie-lucas
Maria Vadeeva,25,8.2,1.6,3,52.7,0.2,0.5,33.3,0.4,0.5,75,0.7,1.5,2.2,0.4,0.4,0.4,0.5,3.6,1628926,maria-vadeeva
Marie Gülich,23,5,0.6,1.3,48.3,0,0,0,0.3,0.3,75,0.4,0.6,1,0.1,0,0.2,0.6,1.5,1628895,marie-gulich
Marissa Coleman,21,18.3,1.9,5.5,34.8,0.6,2,27.9,0.3,0.3,100,0.6,1.8,2.4,1,0.5,0.2,0.6,4.7,201889,marissa-coleman
Maya Moore,34,31.8,6.6,15.5,42.3,1.9,5.3,36.5,2.9,3.5,83.3,1.4,3.7,5.1,2.6,1.7,0.3,1.8,18,202632,maya-moore
Mercedes Russell,24,5.6,0.7,1.4,47.1,0,0,0,0.3,0.6,57.1,0.3,1,1.4,0.2,0.1,0.1,0.3,1.7,1628920,mercedes-russell
Monique Billings,32,11,1.3,2.9,44.1,0,0,0,0.8,1,75,1.2,1.6,2.8,0.4,0.4,0,0.4,3.3,1628881,monique-billings
Monique Currie,32,15.9,2.1,5.4,39.5,0.5,1.8,29.3,1.8,2.2,83.1,0.6,2.4,3,0.8,0.4,0.2,1.2,6.6,200673,monique-currie
Morgan Tuck,34,13.6,2.4,5,47.3,0.6,1.9,34.9,0.6,0.7,82.6,0.7,1.6,2.3,0.5,0.4,0.1,0.7,5.9,1627670,morgan-tuck
Moriah Jefferson,16,15.7,2.1,5.4,37.9,0.2,0.9,20,1.1,1.3,81,0.3,1,1.3,2.1,0.6,0,1,5.4,1627669,moriah-jefferson
Myisha Hines-Allen,24,10.5,1.5,3.3,45,0,0.1,33.3,0.7,1.1,65.4,1.2,1.7,2.9,0.4,0.4,0.2,0.4,3.8,1628899,myisha-hines-allen
Natalie Achonwa,34,26,4,7.6,52.7,0,0,0,2.2,2.8,80,2.5,4.4,6.9,1.4,0.8,0.7,1.1,10.3,203831,natalie-achonwa
Natasha Cloud,27,26.5,3.3,7.6,43.6,1.2,3.1,38.6,0.8,1,77.8,0.2,3,3.2,4.6,0.8,0.1,1.7,8.6,204333,natasha-cloud
Natasha Howard,34,25.6,5.1,9.4,54.7,0.5,1.5,32.7,2.4,3.1,79.8,2.4,4.1,6.4,1,1.3,2,1.9,13.2,203827,natasha-howard
Nia Coffey,28,13.8,1.9,4.9,38,0.1,0.2,40,1.5,2.4,61.8,0.8,1.6,2.4,0.6,0.3,0.2,1.3,5.3,1628269,nia-coffey
Nneka Ogwumike,27,30.8,6.3,11.9,52.5,0.3,1,34.6,2.6,3.2,81.6,1.8,5,6.8,2,1.6,0.4,1.5,15.5,203014,nneka-ogwumike
Noelle Quinn,20,9.1,0.7,2.2,30.2,0.2,0.9,23.5,0,0,0,0.1,0.8,0.9,0.7,0.1,0.1,0.5,1.5,201049,noelle-quinn
Odyssey Sims,34,25.5,3.1,7.9,38.8,0.4,1.6,27.3,1.7,2.3,72.2,0.4,2.1,2.5,2.8,0.6,0,1.5,8.2,203824,odyssey-sims
Rachel Banham,33,12.8,1.7,4,41.4,0.9,2.5,37,1,1.2,86.8,0.2,0.7,0.9,1.5,0.5,0.1,0.6,5.2,1627671,rachel-banham
Rebecca Allen,28,10.4,1.4,3.6,37.6,0.4,1.4,26.3,0.8,0.9,84,0.5,1.3,1.7,0.3,0.3,0.4,0.6,3.8,204296,rebecca-allen
Rebekkah Brunson,25,27.6,2.6,6.3,40.5,0.7,1.9,37.5,1.3,2,67.3,1.5,5.3,6.8,2.4,0.8,0.5,1.5,7.2,100944,rebekkah-brunson
Renee Montgomery,34,27.5,3.1,8.1,38.9,2.3,6.2,37.1,1.7,2,88.1,0.1,1.6,1.7,3.7,1.3,0.1,1.6,10.3,201904,renee-montgomery
Riquna Williams,33,16.5,2.5,6,40.7,1.5,3.9,37.5,0.7,0.9,80,0.4,1,1.4,0.7,0.7,0.1,0.5,7.1,203029,riquna-williams
Sami Whitcomb,31,8.5,1,2.8,34.9,0.8,2.2,36.2,0.2,0.2,100,0.2,0.8,0.9,0.5,0.5,0.1,0.5,2.9,1628244,sami-whitcomb
Sancho Lyttle,18,23.3,3.4,6.3,54,0,0.1,0,1.2,1.3,87.5,1.4,3.9,5.3,1.4,0.9,0.4,0.9,7.9,101023,sancho-lyttle
Seimone Augustus,33,26.2,4.7,10.1,46.7,0.6,2,31.8,0.7,1,70.6,0.2,1.7,1.8,2.6,0.4,0.2,1.2,10.8,200671,seimone-augustus
Shatori Walker-Kimbrough,19,8.8,1.3,2.9,42.9,0.4,1.2,30.4,0.6,0.6,100,0.2,0.6,0.8,0.4,0.4,0.3,0.8,3.5,1628278,shatori-walker-kimbrough
Shavonte Zellous,22,24.1,2.9,6.8,42.3,0.4,1.4,26.7,2.1,2.8,75.4,0.3,2.9,3.1,3,0.6,0.2,1.2,8.2,201919,shavonte-zellous
Shekinna Stricklen,34,18.8,2.3,5.3,43,1.7,4,43,0.4,0.4,85.7,0.3,2,2.3,0.5,0.6,0.1,0.6,6.6,203015,shekinna-stricklen
Skylar Diggins-Smith,32,34.1,5.8,14.4,40.3,1.6,5.4,29.7,4.7,5.6,83.9,0.7,2.7,3.3,6.2,1.4,0.5,2.5,17.9,203400,skylar-diggins-smith
Stefanie Dolson,27,27.6,4,8.5,46.7,0.7,1.9,34.6,1.1,1.2,93.8,0.7,3.9,4.6,3,0.6,0.9,1.8,9.7,203828,stefanie-dolson
Stephanie Mavunga,25,7.8,0.8,1.8,47.7,0,0,0,0.5,0.6,80,1,1.2,2.2,0.2,0.3,0.2,0.4,2.2,1628906,stephanie-mavunga
Stephanie Talbot,31,14.6,1.3,2.7,46.4,0.5,1.4,38.6,0.6,0.7,90.5,0.8,1.1,1.9,1.3,0.5,0.3,0.9,3.7,203855,stephanie-talbot
Sue Bird,31,26.6,3.7,8,46.6,1.9,4.3,44.8,0.8,0.9,82.8,0.2,1.6,1.7,7.1,1.1,0.1,1.9,10.1,100720,sue-bird
Sugar Rodgers,31,19.6,2.2,6,36.2,1.4,4.3,32.3,0.6,0.7,82.6,0.6,2.6,3.2,2,0.7,0.1,1.2,6.3,203411,sugar-rodgers
Sydney Colson,2,8.5,1.5,3.5,42.9,0,1,0,0.5,1,50,0.5,0.5,1,2,0,0.5,2,3.5,202641,sydney-colson
Sydney Wiese,11,3.3,0,0.4,0,0,0.4,0,0,0,0,0,0.3,0.3,0.2,0,0,0.1,0,1628282,sydney-wiese
Sylvia Fowles,34,32,7,11.3,61.9,0,0,0,3.8,5,75.7,3.6,8.3,11.9,2.2,1.4,1.2,3,17.7,201480,sylvia-fowles
Tamera Young,33,26.7,3.9,9.6,40.8,0.1,0.4,30.8,2,2.8,70.7,1.1,4,5.1,2.8,1,0.2,1.7,9.9,201477,tamera-young
Tanisha Wright,33,17.8,1.5,4,38.3,0.6,1.5,39.6,0.6,0.8,74.1,0.3,1.3,1.6,2,0.5,0.1,1.3,4.3,101030,tanisha-wright
Tayler Hill,20,11.8,1.2,4.2,28.6,0.7,2.3,28.9,0.7,0.7,92.9,0.2,0.6,0.8,1,0.1,0.1,0.8,3.7,203401,tayler-hill
Temi Fagbenle,30,9.4,1.3,2.6,50.6,0,0,0,0.5,0.8,69.6,0.9,1.1,2,0.6,0.3,0.3,0.7,3.1,1627701,temi-fagbenle
Theresa Plaisance,7,11.6,2,5.1,38.9,1.3,2.7,47.4,0,0.3,0,1.4,2.3,3.7,0.7,0.3,0.3,1.1,5.3,203849,theresa-plaisance
Tianna Hawkins,32,16.6,2.5,5.7,44.3,0.8,2.2,35.7,0.4,0.5,82.4,1.1,2.4,3.5,0.8,0.5,0.4,1.1,6.3,203403,tianna-hawkins
Tierra Ruffin-Pratt,33,18.1,1.7,5,34.1,0.5,1.5,31.4,1.6,1.9,85.5,0.7,1.3,2,1.5,0.6,0.2,0.8,5.5,203437,tierra-ruffin-pratt
Tiffany Hayes,31,28.9,5.7,12.9,44.1,1.4,4.2,32.1,4.5,5.5,81.7,0.9,2.7,3.6,2.7,1.2,0.2,1.6,17.2,203026,tiffany-hayes
Tiffany Mitchell,34,25.6,3.2,8.6,37.1,0.5,1.8,26.7,2.2,2.7,83.5,0.7,2.4,3.1,2.3,0.9,0.2,1.4,9.1,1627676,tiffany-mitchell
Tina Charles,33,33,8,16.8,47.3,0.9,2.9,32.6,2.8,3.7,77,1.9,5.1,7,2.7,0.7,0.6,2.8,19.7,202250,tina-charles
Victoria Vivians,34,27.1,3.1,7.6,40.4,1.9,4.8,39.9,0.8,0.9,93.1,0.5,2.6,3.1,1.2,0.9,0.1,1,8.9,1628927,victoria-vivians
Yvonne Turner,32,13.3,1.5,3.9,37.6,0.7,2.2,32.4,0.5,0.7,68.2,0.2,1.6,1.8,1.3,0.7,0.1,0.6,4.1,203389,yvonne-turner
