player,g,min,fgm,fga,fg_percent,x3pm,x3pa,x3p_percent,ftm,fta,ft_percent,oreb,dreb,reb,ast,stl,blk,to,pts,player_id,snake_name,team,dob,feet,inches,weight,position,college,height
Angel McCoughtry,29,27.6,5.9,14,42,0.7,2.6,27.6,4,4.8,83.6,1.6,4.4,6,3,1.3,0.6,2.6,16.5,201881,angel-mccoughtry,ATL,1986-09-10,6,1,160,F-G,Louisville,73
Angel Robinson,24,9.9,0.8,1.8,45.2,0,0,0,0.7,0.8,85,1,2,3,0.5,0.2,0.3,0.9,2.3,202657,angel-robinson,PHO,1987-04-20,6,6,193,F-C,,78
Ariel Atkins,29,22.5,4.1,9.6,43.2,1.6,4.3,35.7,1.4,1.8,82.4,1,1.4,2.4,2.1,1.3,0.3,1.3,11.3,1628878,ariel-atkins,WAS,1996-07-30,5,11,160,G,Texas,71
Asia Taylor,14,8.3,0.6,2.1,31,0.1,0.4,20,0.5,0.6,77.8,0.6,1.1,1.8,0.4,0.2,0,0.8,1.9,203859,asia-taylor,IND,1991-08-22,6,1,167,F,Louisville,73
Astou Ndour,22,11.6,1.7,3.5,47.4,0.3,1,31.8,0.9,1.2,76.9,1,1.4,2.5,0.3,0.2,0.5,0.5,4.6,203838,astou-ndour,CHI,1994-08-22,6,5,NA,C,Senegal,77
Azurá Stevens,34,20.6,3.3,7.6,43,0.8,2.6,31.8,1.5,1.9,78.8,1.7,2.8,4.6,1.3,0.9,1.1,1.5,8.9,1628922,azura-stevens,DAL,1996-02-01,6,6,180,F-C,Connecticut,78
Betnijah Laney,29,9.3,1.1,2.4,47.1,0,0.3,11.1,0.3,0.4,90.9,0.7,1,1.7,0.7,0.4,0,0.6,2.7,204335,betnijah-laney,CON,1993-10-29,6,0,160,F-G,Rutgers,72
Blake Dietrick,26,7.2,0.5,1.3,34.3,0.3,0.9,39.1,0.2,0.2,66.7,0.1,0.5,0.5,0.4,0.3,0,0.5,1.4,204355,blake-dietrick,ATL,1993-07-19,5,10,157,G,Princeton,70
Breanna Stewart,34,31.6,7.9,15,52.9,1.8,4.3,41.5,4.1,5.1,82,1.1,7.2,8.4,2.5,1.4,1.4,1.8,21.8,1627668,breanna-stewart,SEA,1994-08-27,6,4,170,F,Connecticut,76
Bria Hartley,34,23.7,3,7.8,38.9,1.1,3.4,30.8,1.4,1.9,70.8,0.7,2.2,2.9,3.6,0.8,0.1,2,8.5,203829,bria-hartley,NYL,1992-09-30,5,8,148,G,Connecticut,68
Briann January,33,27.1,2.3,5.5,42.3,1.4,3,47,0.9,1.1,80.6,0.4,1.6,2.1,3.3,0.6,0.1,1.4,7,201896,briann-january,PHO,1987-01-11,5,8,144,G,Arizona State,68
Brionna Jones,27,9,1.1,2.4,46.9,0,0,0,0.9,1.2,72.7,0.9,1.1,2,0.2,0.2,0.2,0.6,3.1,1628280,brionna-jones,CON,1995-12-18,6,3,230,C,Maryland,75
Brittany Boyd,30,20.4,2.3,5.6,41.4,0.3,0.9,37,1.4,1.8,77.4,0.3,3.6,3.9,5.3,1.2,0.1,2.7,6.4,204327,brittany-boyd,NYL,1993-06-11,5,9,156,G,California,69
Brittney Griner,34,32.6,7.8,14.4,54.4,0,0.1,25,4.8,6,80,1.9,5.9,7.7,2.1,0.5,2.6,2.4,20.5,203398,brittney-griner,PHO,1990-10-18,6,9,205,C,Baylor,81
Brittney Sykes,29,20.7,3.3,8.1,41.1,0.8,2.8,26.8,2.2,3.4,66.3,0.6,2.9,3.5,2.3,0.3,0.6,1.1,9.7,1628279,brittney-sykes,ATL,1994-02-07,5,9,155,G,Syracuse,69
Camille Little,33,16.2,1,3,33,0.2,0.9,25.8,0.7,0.9,77.4,0.5,1.3,1.8,1.2,0.6,0.3,0.9,3,201067,camille-little,PHO,1985-01-18,6,2,180,F,North Carolina,74
Candace Parker,31,30.6,6.4,13.5,47.1,1.3,3.8,34.5,3.8,4.7,80.8,1.6,6.5,8.2,4.7,1.2,1.1,3,17.9,201496,candace-parker,LAS,1986-04-19,6,4,175,F-C,Tennessee,76
Candice Dupree,32,31.4,6.2,12.7,48.8,0,0,0,1.8,2.3,81.9,1.2,5.3,6.4,1.7,0.9,0.3,1.6,14.2,200676,candice-dupree,IND,1984-08-16,6,2,178,F,Temple,74
Cappie Pondexter,30,18.2,2.8,7.4,38.1,0.4,1,36.7,1.3,1.5,86.7,0.2,1.6,1.8,1.8,0.5,0,0.9,7.3,200665,cappie-pondexter,IND,1983-01-07,5,9,160,G,Rutgers,69
Carolyn Swords,26,14.5,1.7,3,55.7,0,0,0,0.5,0.6,87.5,1.7,3,4.7,0.9,0.2,0.7,0.8,3.9,202670,carolyn-swords,LVA,1989-07-19,6,6,215,C,Boston College,78
Cayla George,23,10.7,1.5,3.4,43.6,0.5,1.7,30.8,0.1,0.3,50,0.7,2.1,2.8,0.7,0.1,0.2,0.6,3.6,204297,cayla-george,DAL,1989-05-01,6,4,192,C,Australia,76
Cecilia Zandalasini,29,16.5,2.1,5.1,40.9,0.8,2.1,38.3,0.7,0.9,84,0.2,1.7,1.9,1.1,0.3,0,1.1,5.7,1628508,cecilia-zandalasini,MIN,1996-03-16,6,2,175,F,Italy,74
Chelsea Gray,34,32.7,5.7,11.7,48.4,1.1,2.9,39.2,2.4,2.9,83.5,0.5,2.9,3.4,5.1,1.4,0.2,2.3,14.9,203833,chelsea-gray,LAS,1992-10-08,5,11,170,G,Duke,71
Cheyenne Parker,34,19.7,3.8,7.1,53.1,0.2,0.6,31.6,2.3,3.2,71.3,1.8,4,5.8,0.7,0.6,1.1,1.4,10,204323,cheyenne-parker,CHI,1992-08-22,6,4,190,F,Middle Tennessee State,76
Chiney Ogwumike,31,25.5,5.7,9.4,60.3,0,0.1,50,3,3.8,79.7,2.7,4.6,7.3,1,1.2,0.6,1.6,14.4,203823,chiney-ogwumike,CON,1992-03-22,6,4,173,F,Stanford,76
Courtney Paris,34,10.6,0.9,1.8,53.3,0,0,0,0.3,0.5,52.9,1.1,2.8,3.9,0.6,0.2,0.3,0.4,2.1,201907,courtney-paris,SEA,1987-09-21,6,4,250,C,Oklahoma,76
Courtney Vandersloot,30,31.8,4.5,9.3,48.9,1.5,3.8,39.8,1.9,2.3,82.6,0.5,3.2,3.7,8.6,1.3,0.6,3.5,12.5,202664,courtney-vandersloot,CHI,1989-02-08,5,8,145,G,Gonzaga,68
Courtney Williams,30,27.1,5.7,12.5,45.6,0.7,1.8,37.7,0.6,0.8,68,1.5,4.4,5.9,3,0.8,0.1,1.8,12.6,1627675,courtney-williams,CON,1994-05-11,5,8,136,G,South Florida,68
Crystal Langhorne,26,13.9,2,4,50,0,0.2,0,0.6,0.7,88.9,0.7,2.3,3,0.3,0.3,0.1,0.9,4.6,201518,crystal-langhorne,SEA,1986-10-27,6,2,185,F-C,Maryland,74
Damiris Dantas,19,13.4,2.2,5.1,43.3,0.3,1.1,23.8,0.7,0.9,72.2,0.9,1.5,2.4,0.8,0.4,0,0.5,5.4,203024,damiris-dantas,ATL,1992-11-17,6,3,208,F,Brazil,75
Danielle Robinson,28,18.6,2.5,5.5,44.5,0.1,0.7,15.8,1.5,1.7,85.4,0.3,1.5,1.8,3.3,0.9,0,1.8,6.5,202658,danielle-robinson,MIN,1989-05-10,5,9,128,G,Oklahoma,69
DeWanna Bonner,34,32.9,6.1,13.5,45.2,1.6,5.2,31.3,3.4,4,86.7,1.4,5.9,7.2,3.2,1.3,0.4,1.6,17.3,201886,dewanna-bonner,PHO,1987-08-21,6,4,143,F,Auburn,76
Dearica Hamby,33,14.4,2.8,5.3,52.6,0.4,1.4,28.9,1.4,1.9,74.2,1.1,2.5,3.6,1.2,0.7,0.3,1.1,7.4,204324,dearica-hamby,LVA,1993-11-06,6,3,189,F,Wake Forest,75
Devereaux Peters,5,7.6,0.8,2.4,33.3,0,0.4,0,0,0,0,0.4,1.2,1.6,0.4,0,0,0.4,1.6,203016,devereaux-peters,PHO,1989-10-08,6,2,174,F,Notre Dame,74
Diamond DeShields,34,28.4,4.9,11.5,42.5,1.2,3.6,32.8,3.4,4.1,83.6,1.1,3.8,4.9,2.2,1.1,0.3,2.1,14.4,1628890,diamond-deshields,CHI,1995-03-05,6,1,NA,G,Tennessee,73
Diana Taurasi,33,30,6.1,13.7,44.6,3.2,8.4,38.3,5.2,5.6,92.5,0.1,3.4,3.5,5.3,0.9,0.2,2.6,20.7,100940,diana-taurasi,PHO,1982-06-11,6,0,163,G,Connecticut,72
Elena Delle Donne,29,32.2,7.6,15.6,48.8,1.7,4.2,40.5,3.8,4.3,88.7,1.5,5.8,7.2,2.3,0.9,1.4,0.9,20.7,203399,elena-delle-donne,WAS,1989-09-05,6,5,187,F-G,Delaware,77
Elizabeth Williams,33,26.8,3.7,6.7,54.8,0,0,0,1.8,3.1,56.3,2.2,3.6,5.8,1.4,0.8,1.8,1.2,9.1,204322,elizabeth-williams,ATL,1993-06-23,6,3,199,C-F,Duke,75
Epiphanny Prince,16,19.1,3,7.6,39.3,1.1,2.7,41.9,1.3,1.5,87.5,0.4,1.1,1.6,1.7,0.9,0,1.1,8.4,202259,epiphanny-prince,NYL,1988-01-11,5,9,179,G,Rutgers,69
Erica McCall,34,12.3,1.2,3.2,38.5,0,0.2,12.5,0.4,0.6,68.4,1.4,1.4,2.7,0.4,0.3,0.5,0.3,2.9,1628286,erica-mccall,IND,1995-08-21,6,2,184,F,Stanford,74
Erica Wheeler,34,21.7,2.9,8.3,35.1,0.6,2.2,27.6,1.4,1.7,79.7,0.6,2.4,2.9,4.1,0.8,0.2,1.4,7.8,204365,erica-wheeler,IND,1991-05-02,5,7,143,G,Rutgers,67
Erlana Larkins,13,12.9,0.9,2.1,44.4,0,0,0,0.2,0.2,100,1,1.7,2.7,1.3,0.7,0.1,0.7,2.1,201503,erlana-larkins,MIN,1986-04-02,6,2,200,F,North Carolina,74
Essence Carson,34,23.1,3,6.8,43.5,1.1,3.2,36.1,0.4,0.5,93.8,0.3,2.4,2.6,0.9,0.8,0.3,0.6,7.5,201502,essence-carson,LAS,1986-07-28,6,0,163,F-G,Rutgers,72
Gabby Williams,34,23,3,6.9,43.2,0.2,0.8,26.9,1.1,1.4,78.3,1.2,3.1,4.3,1.6,1.6,0.2,1.1,7.3,1628931,gabby-williams,CHI,1996-09-09,5,11,NA,F,Connecticut,71
Glory Johnson,29,22.5,2.9,7,41.7,0.6,1.9,31.5,1.6,2,78,1.6,4.3,6,1.3,1,0.5,1.3,8,203017,glory-johnson,DAL,1990-07-27,6,3,170,F,Tennessee,75
Imani McGee-Stafford,29,10.5,1.3,3,45.3,0,0,0,0.2,0.5,46.7,1.3,2.1,3.4,0.6,0.5,0.4,0.8,2.9,1627677,imani-mcgee-stafford,ATL,1994-10-11,6,7,200,C,Texas,79
Jaime Nared,31,9.1,0.8,2.6,30,0.2,1,22.6,0.8,0.9,85.7,0.3,1.2,1.5,0.5,0.4,0.1,0.6,2.5,1628913,jaime-nared,LVA,1995-09-14,6,2,160,G-F,Tennessee,74
Jamierra Faulkner,17,21.2,2.7,7.9,34.3,1.1,3.7,30.2,1.1,1.4,75,0.3,1.1,1.4,3.9,0.5,0.1,2.1,7.6,203857,jamierra-faulkner,CHI,1992-03-09,5,6,141,G,Southern Mississippi,66
Jantel Lavender,30,17,2.3,5.3,42.8,0.1,0.5,18.8,0.6,0.7,90,1.1,2.6,3.7,0.7,0.4,0.2,1,5.2,202650,jantel-lavender,LAS,1988-11-12,6,4,185,C,Ohio State,76
Jasmine Thomas,34,28.1,4.7,11.8,39.8,1.4,4.4,31.1,2.1,2.4,85.5,0.8,2.5,3.3,4.8,1.1,0.2,2.5,12.9,202662,jasmine-thomas,CON,1989-09-30,5,9,145,G,Duke,69
Jessica Breland,34,26.4,3.6,8.5,42.8,0,0,0,1,1.3,75,1.7,6.2,7.9,2,1.1,1.9,1.7,8.3,202638,jessica-breland,ATL,1988-02-23,6,3,164,F,North Carolina,75
Jewell Loyd,34,29.7,5.4,12.6,42.3,2,5.3,37,2.9,3.4,85.1,1.2,3.3,4.6,3.7,1.3,0.1,1.9,15.5,204319,jewell-loyd,SEA,1993-10-05,5,10,148,G,Notre Dame,70
JiSu Park,32,13,1.2,3.1,38.8,0,0.1,0,0.4,0.7,61.9,0.8,2.5,3.3,0.9,0.3,0.6,0.7,2.8,1628917,jisu-park,LVA,1998-12-06,6,5,206,C,South Korea,77
Jonquel Jones,34,20.5,4.4,8,55,1.5,3.1,46.7,1.6,2.3,67.1,2.1,3.4,5.5,1.7,0.4,1.2,1.6,11.8,1627673,jonquel-jones,CON,1994-01-05,6,6,190,F,George Washington,78
Jordin Canada,33,16.5,2,5.5,35.7,0.3,1.7,18.2,1.5,2,73.8,0.3,1.2,1.5,3.3,0.9,0,1.7,5.7,1628886,jordin-canada,SEA,1995-08-11,5,6,NA,G,UCLA,66
Kaela Davis,27,16.8,1.9,5.3,34.7,0.4,1.5,24.4,0.9,1.4,64.1,0.5,1.6,2,1.4,0.3,0,1.3,5,1628273,kaela-davis,DAL,1995-03-15,6,2,170,F-G,South Carolina,74
Kahleah Copper,33,15.9,2.5,6.2,39.7,0.7,1.9,37.5,1.5,1.7,87.5,0.5,1.7,2.2,0.6,0.3,0.2,1,7.1,1627674,kahleah-copper,CHI,1994-08-28,6,1,155,G-F,Rutgers,73
Kaleena Mosqueda-Lewis,33,13.4,1.8,4.5,41.2,1,2.5,42,0.3,0.4,91.7,0.2,1.2,1.5,0.8,0.1,0,0.7,5.1,204321,kaleena-mosqueda-lewis,SEA,1993-11-03,5,11,180,F,Connecticut,71
Karima Christmas-Kelly,6,27.8,2.2,4.8,44.8,0.7,1.5,44.4,4.3,5.3,81.3,1.8,3.7,5.5,1.5,0.3,0.3,1.5,9.3,202640,karima-christmas-kelly,DAL,1989-09-11,6,0,180,F,Duke,72
Karlie Samuelson,20,4.2,0.4,0.9,38.9,0.3,0.8,31.3,0,0,0,0.1,0.4,0.5,0.3,0.1,0.3,0.1,1,1628317,karlie-samuelson,LAS,1995-05-10,6,0,NA,G,Stanford,72
Kayla Alexander,30,8.6,1.1,2,54.1,0,0,0,0.5,0.6,82.4,0.7,1.5,2.2,0.2,0.1,0.3,0.6,2.7,203405,kayla-alexander,IND,1991-01-05,6,4,195,C,Syracuse,76
Kayla McBride,31,32.3,6.4,14.2,44.9,1.5,3.9,39.3,3.9,4.3,91.7,0.8,3.1,3.9,3.5,1.1,0.1,2,18.2,203825,kayla-mcbride,LVA,1992-06-25,5,10,174,G,Notre Dame,70
Kayla Thornton,34,28.6,3.4,7.5,44.7,1.3,3.6,35.5,1.3,1.5,86,1.3,2.7,4,1.8,1,0.3,1.1,9.2,203866,kayla-thornton,DAL,1992-10-20,6,1,190,F,Texas-El Paso,73
Kelsey Bone,32,10.8,1.3,2.5,50,0,0,0,0.3,0.6,50,0.6,1.6,2.2,1.2,0.1,0.1,0.9,2.8,203402,kelsey-bone,LVA,1991-12-31,6,4,220,C,Texas A&M,76
Kelsey Mitchell,34,24.4,4.2,12.1,34.6,2.1,6.1,33.5,2.3,2.9,80.4,0.3,1.5,1.8,2.7,0.7,0.1,1.9,12.7,1628909,kelsey-mitchell,IND,1995-11-12,5,11,160,G,Ohio State,71
Kelsey Plum,31,25.5,3.4,7.3,46.7,1.5,3.5,43.9,1.1,1.3,87.5,0.5,1.9,2.4,4,0.8,0.2,1.2,9.5,1628276,kelsey-plum,LVA,1994-08-24,5,8,145,G,Washington,68
Kia Nurse,34,22.8,3,7.5,40.2,1.1,3.7,29.4,2,2.3,87,0.7,1.7,2.4,1.6,0.7,0.1,0.9,9.1,1628915,kia-nurse,NYL,1996-02-22,6,0,NA,G,Connecticut,72
Kia Vaughn,29,18.3,2.5,4.7,53.3,0,0,0,0.6,1,64.3,1.2,2.8,4,0.7,0.7,0.2,1,5.7,201913,kia-vaughn,NYL,1987-01-24,6,4,205,C,Rutgers,76
Kiah Stokes,30,14.2,1.4,2.6,54.5,0,0,0,0.3,0.5,53.3,1.4,3,4.5,0.4,0.4,0.6,0.7,3.1,204329,kiah-stokes,NYL,1993-03-30,6,3,191,C,Connecticut,75
Kristi Toliver,33,32.9,4.5,10.4,43.3,2.2,6.1,36,2.7,2.9,91.8,0.2,2.2,2.3,4.4,1.2,0,2.2,13.9,201911,kristi-toliver,WAS,1987-01-27,5,7,130,G,Maryland,67
Krystal Thomas,24,9.9,0.8,1.8,42.9,0,0,0,0.3,0.5,63.6,0.9,1.5,2.5,0.2,0.2,0.1,0.8,1.8,202663,krystal-thomas,WAS,1989-06-10,6,5,210,C,Duke,77
LaToya Sanders,28,24.5,4.1,6.8,60.7,0,0,0,1.9,2.2,86.9,2.3,4.1,6.4,1.6,1.3,1.1,1.1,10.2,201506,latoya-sanders,WAS,1986-09-11,6,3,170,F-C,North Carolina,75
Layshia Clarendon,33,16.6,1.7,4.3,40.1,0.1,0.6,10,1.3,1.6,81.1,0.5,1.3,1.8,2.2,0.5,0,1.1,4.8,203406,layshia-clarendon,CON,1991-05-02,5,9,158,G,California,69
Leilani Mitchell,31,14.9,1.5,4.2,35.1,1,2.9,34.1,0.4,0.5,85.7,0.3,1.1,1.4,2.3,0.5,0.2,1.2,4.4,201507,leilani-mitchell,PHO,1985-06-15,5,5,138,G,Utah,65
Leticia Romero,21,7,0.2,0.8,31.3,0,0.2,20,0.6,0.7,86.7,0.4,0.4,0.8,1.1,0.1,0,0.7,1.1,1628285,leticia-romero,DAL,1995-05-28,5,8,143,G,Florida State/Spain,68
Lexie Brown,22,5.6,0.5,2,27.3,0.4,1.3,31,0.2,0.3,57.1,0,0.7,0.8,0.5,0.3,0.1,0.5,1.7,1628882,lexie-brown,CON,1994-10-27,5,9,NA,G,Duke,69
Lindsay Allen,24,14.9,1.2,3,38.4,0,0.7,6.3,0.7,1,70.8,0.1,1.1,1.3,2.9,0.6,0,0.9,3.1,1628263,lindsay-allen,LVA,1995-03-20,5,8,144,G,Notre Dame,68
Lindsay Whalen,32,19.3,2,5.6,36.3,0.5,1.3,35.7,1.2,1.3,88.1,0.3,2.3,2.6,3.1,0.7,0.1,1.3,5.7,100915,lindsay-whalen,MIN,1982-05-09,5,9,170,G,Minnesota,69
Linnae Harper,24,6.1,0.8,2,40.4,0.2,0.5,30.8,0.3,0.4,60,0.2,0.6,0.8,1,0.2,0,0.4,2,1628897,linnae-harper,CHI,1995-01-31,5,8,NA,G,,68
Liz Cambage,32,29.5,8.7,14.8,58.9,0.4,1.2,32.4,5.3,7.2,73.8,2.3,7.3,9.7,2.3,0.5,1.7,2.8,23,202633,liz-cambage,DAL,1991-08-18,6,8,216,C,Unknown/Australia,80
Maggie Lucas,8,7,0.1,2,6.3,0.1,1.6,7.7,0,0,0,0.1,0.3,0.4,0,0.4,0,0.8,0.4,203843,maggie-lucas,DAL,1991-11-29,5,10,158,G,Penn State,70
Maria Vadeeva,25,8.2,1.6,3,52.7,0.2,0.5,33.3,0.4,0.5,75,0.7,1.5,2.2,0.4,0.4,0.4,0.5,3.6,1628926,maria-vadeeva,LAS,1998-07-16,6,4,NA,C,Russia,76
Marie Gülich,23,5,0.6,1.3,48.3,0,0,0,0.3,0.3,75,0.4,0.6,1,0.1,0,0.2,0.6,1.5,1628895,marie-gulich,PHO,1994-05-28,6,5,199,C,Oregon State,77
Marissa Coleman,21,18.3,1.9,5.5,34.8,0.6,2,27.9,0.3,0.3,100,0.6,1.8,2.4,1,0.5,0.2,0.6,4.7,201889,marissa-coleman,NYL,1987-01-04,6,1,160,G-F,Maryland,73
Maya Moore,34,31.8,6.6,15.5,42.3,1.9,5.3,36.5,2.9,3.5,83.3,1.4,3.7,5.1,2.6,1.7,0.3,1.8,18,202632,maya-moore,MIN,1989-06-11,6,0,175,F,Connecticut,72
Mercedes Russell,24,5.6,0.7,1.4,47.1,0,0,0,0.3,0.6,57.1,0.3,1,1.4,0.2,0.1,0.1,0.3,1.7,1628920,mercedes-russell,SEA,1995-07-27,6,6,NA,C,Tennessee,78
Monique Billings,32,11,1.3,2.9,44.1,0,0,0,0.8,1,75,1.2,1.6,2.8,0.4,0.4,0,0.4,3.3,1628881,monique-billings,ATL,1996-05-02,6,4,176,F,UCLA,76
Monique Currie,32,15.9,2.1,5.4,39.5,0.5,1.8,29.3,1.8,2.2,83.1,0.6,2.4,3,0.8,0.4,0.2,1.2,6.6,200673,monique-currie,WAS,1983-02-25,6,0,175,F,Duke,72
Morgan Tuck,34,13.6,2.4,5,47.3,0.6,1.9,34.9,0.6,0.7,82.6,0.7,1.6,2.3,0.5,0.4,0.1,0.7,5.9,1627670,morgan-tuck,CON,1994-04-30,6,2,200,F,Connecticut,74
Moriah Jefferson,16,15.7,2.1,5.4,37.9,0.2,0.9,20,1.1,1.3,81,0.3,1,1.3,2.1,0.6,0,1,5.4,1627669,moriah-jefferson,LVA,1994-03-08,5,6,123,G,Connecticut,66
Myisha Hines-Allen,24,10.5,1.5,3.3,45,0,0.1,33.3,0.7,1.1,65.4,1.2,1.7,2.9,0.4,0.4,0.2,0.4,3.8,1628899,myisha-hines-allen,WAS,1996-05-30,6,2,200,F,Louisville,74
Natalie Achonwa,34,26,4,7.6,52.7,0,0,0,2.2,2.8,80,2.5,4.4,6.9,1.4,0.8,0.7,1.1,10.3,203831,natalie-achonwa,IND,1992-11-22,6,3,190,F,Notre Dame,75
Natasha Cloud,27,26.5,3.3,7.6,43.6,1.2,3.1,38.6,0.8,1,77.8,0.2,3,3.2,4.6,0.8,0.1,1.7,8.6,204333,natasha-cloud,WAS,1992-02-22,6,0,160,G,St. Joseph's (PA),72
Natasha Howard,34,25.6,5.1,9.4,54.7,0.5,1.5,32.7,2.4,3.1,79.8,2.4,4.1,6.4,1,1.3,2,1.9,13.2,203827,natasha-howard,SEA,1991-09-02,6,2,165,F,Florida State,74
Nia Coffey,28,13.8,1.9,4.9,38,0.1,0.2,40,1.5,2.4,61.8,0.8,1.6,2.4,0.6,0.3,0.2,1.3,5.3,1628269,nia-coffey,LVA,1995-06-11,6,1,180,F,Northwestern,73
Nneka Ogwumike,27,30.8,6.3,11.9,52.5,0.3,1,34.6,2.6,3.2,81.6,1.8,5,6.8,2,1.6,0.4,1.5,15.5,203014,nneka-ogwumike,LAS,1990-07-02,6,2,174,F,Stanford,74
Noelle Quinn,20,9.1,0.7,2.2,30.2,0.2,0.9,23.5,0,0,0,0.1,0.8,0.9,0.7,0.1,0.1,0.5,1.5,201049,noelle-quinn,SEA,1985-01-03,6,0,178,G,UCLA,72
Odyssey Sims,34,25.5,3.1,7.9,38.8,0.4,1.6,27.3,1.7,2.3,72.2,0.4,2.1,2.5,2.8,0.6,0,1.5,8.2,203824,odyssey-sims,LAS,1992-07-13,5,8,160,G,Baylor,68
Rachel Banham,33,12.8,1.7,4,41.4,0.9,2.5,37,1,1.2,86.8,0.2,0.7,0.9,1.5,0.5,0.1,0.6,5.2,1627671,rachel-banham,CON,1993-07-15,5,9,168,G,Minnesota,69
Rebecca Allen,28,10.4,1.4,3.6,37.6,0.4,1.4,26.3,0.8,0.9,84,0.5,1.3,1.7,0.3,0.3,0.4,0.6,3.8,204296,rebecca-allen,NYL,1992-11-06,6,2,162,G,Australia,74
Rebekkah Brunson,25,27.6,2.6,6.3,40.5,0.7,1.9,37.5,1.3,2,67.3,1.5,5.3,6.8,2.4,0.8,0.5,1.5,7.2,100944,rebekkah-brunson,MIN,1981-12-11,6,2,181,F,Georgetown,74
Renee Montgomery,34,27.5,3.1,8.1,38.9,2.3,6.2,37.1,1.7,2,88.1,0.1,1.6,1.7,3.7,1.3,0.1,1.6,10.3,201904,renee-montgomery,ATL,1986-12-02,5,7,141,G,Connecticut,67
Riquna Williams,33,16.5,2.5,6,40.7,1.5,3.9,37.5,0.7,0.9,80,0.4,1,1.4,0.7,0.7,0.1,0.5,7.1,203029,riquna-williams,LAS,1990-05-28,5,7,165,G,Miami (Fla.),67
Sami Whitcomb,31,8.5,1,2.8,34.9,0.8,2.2,36.2,0.2,0.2,100,0.2,0.8,0.9,0.5,0.5,0.1,0.5,2.9,1628244,sami-whitcomb,SEA,1988-07-20,5,10,145,G-F,,70
Sancho Lyttle,18,23.3,3.4,6.3,54,0,0.1,0,1.2,1.3,87.5,1.4,3.9,5.3,1.4,0.9,0.4,0.9,7.9,101023,sancho-lyttle,PHO,1983-09-20,6,5,175,F,Houston,77
